"Date","Type","Category","Amount","Currency","Memo","Wallet"
"07/13/2025, 4:27 PM","Expense","Food","-260.70","INR","Food","ICICI Savings Account"
"07/13/2025, 12:01 PM","Expense","Transportation","-5.00","INR","Cycle Parking","ICICI Savings Account"
"07/13/2025, 1:36 AM","Expense","Food","-115.00","INR","Night snack","ICICI Savings Account"
"07/12/2025, 9:16 PM","Expense","Entertainment","-357.20","INR","Movie  Ticket","ICICI Savings Account"
"07/12/2025, 7:25 PM","Expense","Transportation","-80.00","INR","Metro","ICICI Savings Account"
"07/12/2025, 3:08 PM","Expense","Food","-65.00","INR","Maggie and Snacks","ICICI Savings Account"
"07/12/2025, 1:52 PM","Expense","Food","-20.00","INR","Morning Nuts","ICICI Savings Account"
"07/12/2025, 1:59 AM","Expense","Bills","-1785.00","INR","Mess bills","ICICI Credit Card"
"07/12/2025, 1:58 AM","Expense","Food","-40.00","INR","Biscuits","ICICI Savings Account"
"07/11/2025, 6:14 PM","Expense","Food","-74.00","INR","Snacks","ICICI Savings Account"
"07/11/2025, 11:29 AM","Expense","Clothing","-380.00","INR","Laundry","ICICI Savings Account"
"07/10/2025, 11:29 PM","Expense","Bills","-4234.00","INR","Mess Bill","ICICI Credit Card"
"07/10/2025, 9:32 PM","Expense","Food","-30.00","INR","Food","ICICI Savings Account"
"07/10/2025, 6:51 PM","Expense","Others","-15.00","INR","Printout","ICICI Savings Account"
"07/10/2025, 3:37 PM","Expense","Food","-60.00","INR","Maggie","ICICI Savings Account"
"07/10/2025, 9:31 AM","Expense","Bills","-8042.00","INR","Mess bill","ICICI Credit Card"
"07/09/2025, 10:57 PM","Expense","Food","-80.00","INR","chocolate desire","ICICI Savings Account"
"07/09/2025, 6:47 PM","Expense","Food","-40.00","INR","Snacks","ICICI Savings Account"
"07/09/2025, 5:55 PM","Expense","Others","-20000.00","INR","Amma Josco","SBI Savings Account"
"07/09/2025, 5:54 PM","Expense","Others","-5000.00","INR","Lending to Friend","SBI Savings Account"
"07/09/2025, 4:54 PM","Expense","Food","-47.00","INR","Maggie and snacks","ICICI Savings Account"
"07/08/2025, 10:28 PM","Expense","Food","-40.00","INR","Sweets","ICICI Savings Account"
"07/08/2025, 6:01 PM","Expense","Food","-150.00","INR","Lunch","ICICI Savings Account"
"07/08/2025, 3:21 PM","Expense","Transportation","-5.00","INR","Cycle Air","ICICI Savings Account"
"07/07/2025, 7:05 PM","Transfer","Transfer","663.00","INR","Payment","ICICI Savings Account -> ICICI Credit Card"
"07/07/2025, 7:03 PM","Expense","Food","-100.00","INR","Lunch","ICICI Savings Account"
"07/06/2025, 7:48 PM","Expense","Food","-45.00","INR","Maggie","ICICI Savings Account"
"07/06/2025, 4:29 AM","Expense","Food","-62.00","INR","Late Night Snack","ICICI Savings Account"
"07/04/2025, 10:07 PM","Expense","Food","-55.00","INR","Nuts and Munch","ICICI Savings Account"
"07/04/2025, 10:07 PM","Expense","Health","-22.00","INR","Brush","ICICI Savings Account"
"07/04/2025, 7:04 PM","Expense","Food","-30.00","INR","Maggie","ICICI Savings Account"
"07/04/2025, 3:56 AM","Expense","Food","-37.00","INR","Night snack","ICICI Savings Account"
"07/03/2025, 11:46 PM","Expense","Food","-30.00","INR","Biscuit","ICICI Savings Account"
"07/03/2025, 1:23 AM","Expense","Food","-20.00","INR","Biscuit","ICICI Savings Account"
"07/02/2025, 8:31 PM","Expense","Food","-10.00","INR","Yesterday biscuit","ICICI Savings Account"
"07/01/2025, 11:01 PM","Expense","Food","-30.00","INR","Ice Cream","ICICI Savings Account"
"07/01/2025, 3:42 PM","Expense","Bills","-800.90","INR","Jio Recharge 3 months","ICICI Savings Account"
"06/30/2025, 10:59 PM","Income","Others","45.00","INR","ICICI Interest","ICICI Savings Account"
"06/30/2025, 9:14 PM","Income","Others","12400.00","INR","Stipend","SBI Savings Account"
"06/29/2025, 6:43 PM","Income","Others","395.00","INR","Credit Interest","SBI Savings Account"
"06/28/2025, 10:19 PM","Expense","Food","-194.00","INR","Dinner","ICICI Savings Account"
"06/28/2025, 7:05 PM","Expense","Entertainment","-59.00","INR","Spotify","ICICI Credit Card"
"06/28/2025, 10:26 AM","Expense","Health","-5738.00","INR","My PJ meds","SBI Savings Account"
"06/27/2025, 9:26 PM","Expense","Food","-150.00","INR","Dinner","ICICI Savings Account"
"06/26/2025, 4:42 PM","Expense","Food","-80.00","INR","Lunch","ICICI Savings Account"
"06/25/2025, 9:24 PM","Expense","Food","-245.00","INR","Dinner","ICICI Savings Account"
"06/25/2025, 8:05 PM","Expense","Food","-40.00","INR","Munch","ICICI Savings Account"
"06/24/2025, 8:05 PM","Expense","Health","-2000.00","INR","PJ Booking","SBI Savings Account"
"06/24/2025, 2:40 PM","Expense","Food","-60.00","INR","Maggie","ICICI Savings Account"
"06/23/2025, 1:14 AM","Expense","Food","-20.00","INR","Biscuits","ICICI Savings Account"
"06/22/2025, 10:36 PM","Expense","Food","-40.00","INR","Biscuits and drinks","ICICI Savings Account"
"06/21/2025, 10:56 PM","Expense","Food","-148.00","INR","Dinner and snacks","ICICI Savings Account"
"06/20/2025, 11:46 PM","Expense","Food","-145.00","INR","Dinner","ICICI Savings Account"
"06/19/2025, 4:45 PM","Expense","Food","-60.00","INR","Maggie and snacks","ICICI Savings Account"
"06/19/2025, 3:00 PM","Expense","Food","-50.00","INR","Snacks and juice","ICICI Savings Account"
"06/18/2025, 7:55 PM","Expense","Food","-220.00","INR","Dinner","ICICI Savings Account"
"06/18/2025, 6:39 PM","Expense","Transportation","-15.00","INR","Cycle Air","ICICI Savings Account"
"06/18/2025, 1:37 AM","Expense","Food","-50.00","INR","Ice Cream","ICICI Savings Account"
"06/17/2025, 9:34 PM","Expense","Others","-110.00","INR","Friend birthday cake","ICICI Savings Account"
"06/17/2025, 9:32 PM","Expense","Food","-100.00","INR","Maggie and ice cream","ICICI Savings Account"
"06/17/2025, 5:56 PM","Expense","Food","-20.00","INR","Kurkure","ICICI Savings Account"
"06/17/2025, 5:42 PM","Income","Others","29500.51","INR","Amma lend return","ICICI Savings Account"
"06/16/2025, 9:05 PM","Expense","Food","-20.00","INR","Nuts","ICICI Savings Account"
"06/16/2025, 5:53 PM","Transfer","Transfer","100.00","INR","Self Transfer","Cash -> SBI Savings Account"
"06/16/2025, 5:40 PM","Expense","Food","-50.00","INR","Maggie and snacks","ICICI Savings Account"
"06/16/2025, 5:36 PM","Expense","Investment","-200.00","INR","Groww PSU MF","SBI Savings Account"
"06/16/2025, 5:36 PM","Transfer","Transfer","1000.00","INR","Self Transfer","SBI Savings Account -> ICICI Savings Account"
"06/16/2025, 12:44 AM","Expense","Food","-65.00","INR","Maggie and snacks","ICICI Savings Account"
"06/16/2025, 12:00 AM","Expense","Investment","-200.00","INR","Groww Nifty MF","SBI Savings Account"
"06/15/2025, 4:27 PM","Expense","Food","-90.00","INR","Lunch and snacks","ICICI Savings Account"
"06/14/2025, 10:54 PM","Expense","Food","-160.00","INR","Dinner and snacks","ICICI Savings Account"
"06/14/2025, 12:15 AM","Expense","Food","-50.00","INR","Ice cream and drinks","ICICI Savings Account"
"06/13/2025, 10:56 PM","Expense","Food","-40.00","INR","Snacks","ICICI Savings Account"
"06/13/2025, 5:33 PM","Expense","Food","-75.00","INR","Maggie","ICICI Savings Account"
"06/13/2025, 12:53 AM","Expense","Food","-20.00","INR","Snacks","ICICI Savings Account"
"06/12/2025, 12:58 PM","Expense","Bills","-44.07","INR","SMS charges","ICICI Savings Account"
"06/11/2025, 11:54 PM","Expense","Food","-90.00","INR","Maggie and snacks","ICICI Savings Account"
"06/11/2025, 6:22 PM","Expense","Fitness","-225.00","INR","Shaving blades","ICICI Savings Account"
"06/11/2025, 6:02 PM","Expense","Food","-80.00","INR","Cold coffee","ICICI Savings Account"
"06/11/2025, 4:55 PM","Expense","Food","-20.00","INR","Sprite","ICICI Savings Account"
"06/09/2025, 11:32 PM","Expense","Food","-70.00","INR","Ice cream and drinks","ICICI Savings Account"
"06/09/2025, 5:47 PM","Expense","Food","-20.00","INR","Snacks","ICICI Savings Account"
"06/09/2025, 1:26 PM","Expense","Shopping","-204.00","INR","Laptop cleaner kit","ICICI Credit Card"
"06/09/2025, 1:22 AM","Expense","Food","-60.00","INR","Ice Cream","ICICI Savings Account"
"06/08/2025, 12:55 PM","Expense","Clothing","-400.00","INR","Shorts","ICICI Credit Card"
"06/08/2025, 12:26 AM","Expense","Food","-30.00","INR","Snacks","ICICI Savings Account"
"06/08/2025, 12:25 AM","Expense","Food","-89.00","INR","Burger","ICICI Savings Account"
"06/06/2025, 10:04 PM","Expense","Food","-60.00","INR","Water","ICICI Savings Account"
"06/06/2025, 10:03 PM","Expense","Travel","-80.00","INR","Metro","ICICI Savings Account"
"06/06/2025, 10:03 PM","Expense","Food","-390.00","INR","Food","ICICI Savings Account"
"06/06/2025, 5:29 PM","Expense","Food","-70.00","INR","Lunch","ICICI Savings Account"
"06/05/2025, 9:25 PM","Expense","Food","-89.00","INR","Last night burger","ICICI Savings Account"
"06/05/2025, 1:46 PM","Expense","Food","-457.00","INR","Sunday movie food","ICICI Savings Account"
"06/05/2025, 1:45 PM","Expense","Others","-882.50","INR","Sajay chips","ICICI Savings Account"
"06/05/2025, 1:38 AM","Expense","Food","-20.00","INR","Nuts","ICICI Savings Account"
"06/04/2025, 8:59 PM","Expense","Food","-40.00","INR","Snack","ICICI Savings Account"
"06/04/2025, 3:43 PM","Transfer","Transfer","10516.64","INR","Payment","ICICI Savings Account -> ICICI Credit Card"
"06/04/2025, 3:03 PM","Expense","Transportation","-10.00","INR","Cycle Brakes","ICICI Savings Account"
"06/03/2025, 11:45 PM","Expense","Food","-105.00","INR","Late Night Snack","ICICI Savings Account"
"06/03/2025, 6:48 PM","Expense","Food","-20.00","INR","Fanta","ICICI Savings Account"
"06/03/2025, 1:48 PM","Expense","Clothing","-300.00","INR","Laundry","ICICI Savings Account"
"06/02/2025, 8:50 PM","Expense","Food","-20.00","INR","Fanta day before","ICICI Savings Account"
"06/02/2025, 7:59 PM","Expense","Bills","-20251.96","INR","Macbook EMI","SBI Savings Account"
"06/02/2025, 5:11 PM","Expense","Food","-50.00","INR","Ice Cream","ICICI Savings Account"
"06/02/2025, 5:11 PM","Expense","Transportation","-15.00","INR","Cycle Air","ICICI Savings Account"
"06/01/2025, 8:20 PM","Expense","Travel","-80.00","INR","Metro","ICICI Savings Account"
"06/01/2025, 11:32 AM","Income","Others","36000.82","INR","Amma lend return","SBI Savings Account"
"05/31/2025, 6:29 PM","Expense","Food","-50.00","INR","Oreo and icecream","ICICI Savings Account"
"05/30/2025, 7:30 PM","Income","Others","12400.00","INR","Stipend","SBI Savings Account"
"05/30/2025, 4:55 PM","Expense","Food","-227.00","INR","Lunch","ICICI Savings Account"
"05/30/2025, 1:02 AM","Expense","Food","-35.00","INR","Snack","ICICI Savings Account"
"05/29/2025, 9:06 PM","Expense","Others","-77.00","INR","Malu Recharge","ICICI Savings Account"
"05/29/2025, 5:30 PM","Expense","Food","-45.00","INR","Snack","ICICI Savings Account"
"05/29/2025, 2:51 PM","Expense","Health","-60.00","INR","Soap","ICICI Savings Account"
"05/29/2025, 12:30 AM","Expense","Food","-120.00","INR","Late night food","ICICI Savings Account"
"05/28/2025, 8:57 PM","Expense","Food","-35.00","INR","Ice cream","ICICI Savings Account"
"05/28/2025, 6:23 PM","Expense","Food","-20.00","INR","Biscuits","ICICI Savings Account"
"05/28/2025, 3:32 PM","Transfer","Transfer","11000.00","INR","Self Transfer","SBI Savings Account -> ICICI Savings Account"
"05/28/2025, 3:31 PM","Expense","Entertainment","-59.00","INR","Spotify","ICICI Credit Card"
"05/28/2025, 2:52 PM","Income","Others","200.00","INR","Vishnu Powder","ICICI Savings Account"
"05/27/2025, 10:25 PM","Expense","Bills","-5119.00","INR","Mess bills","ICICI Credit Card"
"05/27/2025, 10:20 PM","Expense","Education","-11795.00","INR","Summer term fees","SBI Savings Account"
"05/27/2025, 9:30 PM","Expense","Food","-20.00","INR","Oreo","ICICI Savings Account"
"05/27/2025, 8:00 PM","Expense","Health","-95.00","INR","Razor","ICICI Savings Account"
"05/27/2025, 4:20 PM","Expense","Food","-60.00","INR","Maggie and Nuts","ICICI Savings Account"
"05/27/2025, 12:35 PM","Expense","Bills","-77.00","INR","Malu Recharge","ICICI Savings Account"
"05/27/2025, 12:07 AM","Expense","Food","-106.00","INR","Maggie and ice cream","ICICI Savings Account"
"05/25/2025, 11:59 PM","Expense","Food","-120.00","INR","Icecream","ICICI Savings Account"
"05/25/2025, 5:03 PM","Expense","Health","-170.00","INR","Face wash","ICICI Savings Account"
"05/25/2025, 12:59 PM","Income","Others","83.34","INR","Sajay uber","ICICI Savings Account"
"05/24/2025, 10:47 PM","Expense","Others","-940.00","INR","Friends Treat","ICICI Savings Account"
"05/24/2025, 6:48 PM","Expense","Shopping","-130.00","INR","Maggie and toothpaste","ICICI Savings Account"
"05/24/2025, 6:46 PM","Expense","Fitness","-60.00","INR","Haircut","ICICI Savings Account"
"05/24/2025, 6:32 PM","Expense","Food","-10.00","INR","Nuts","ICICI Savings Account"
"05/24/2025, 12:00 PM","Expense","Others","-5000.00","INR","Amma lend","SBI Savings Account"
"05/23/2025, 9:15 PM","Expense","Food","-35.00","INR","Ice cream","ICICI Savings Account"
"05/23/2025, 12:25 AM","Expense","Food","-30.00","INR","Ice cream","ICICI Savings Account"
"05/22/2025, 4:34 PM","Expense","Food","-40.00","INR","Maggie and Snacks","ICICI Savings Account"
"05/22/2025, 12:32 PM","Expense","Shopping","-338.05","INR","Amazon usb adaptor","ICICI Credit Card"
"05/21/2025, 9:55 PM","Expense","Food","-30.00","INR","Ice cream","ICICI Savings Account"
"05/21/2025, 9:06 PM","Income","Others","83.34","INR","Vishnu Uber","ICICI Savings Account"
"05/21/2025, 9:06 PM","Expense","Transportation","-429.76","INR","Uber","ICICI Savings Account"
"05/21/2025, 8:51 PM","Expense","Others","-29500.00","INR","Amma Friend OET Lend","SBI Savings Account"
"05/21/2025, 12:19 PM","Expense","Food","-84.00","INR","Lunch","ICICI Savings Account"
"05/21/2025, 11:40 AM","Expense","Transportation","-10.00","INR","Cycle Air and oil","ICICI Savings Account"
"05/21/2025, 11:21 AM","Expense","Shopping","-320.59","INR","Laptop bag and usb adapter","ICICI Credit Card"
"05/21/2025, 3:38 AM","Expense","Food","-493.50","INR","Burger and fries","ICICI Savings Account"
"05/19/2025, 3:50 PM","Expense","Food","-460.00","INR","Lunch","ICICI Savings Account"
"05/19/2025, 3:49 PM","Transfer","Transfer","7000.00","INR","Self Transfer","SBI Savings Account -> ICICI Savings Account"
"05/19/2025, 2:47 PM","Expense","Clothing","-1708.00","INR","Shirts","SBI Savings Account"
"05/19/2025, 12:39 PM","Expense","Food","-100.00","INR","Peri peri fries","SBI Savings Account"
"05/19/2025, 11:54 AM","Expense","Gifts","-110.00","INR","Sweets for Prof","ICICI Savings Account"
"05/19/2025, 11:52 AM","Expense","Health","-56.00","INR","Asthalin","ICICI Savings Account"
"05/18/2025, 10:01 AM","Expense","Food","-15.00","INR","Bottle Water","ICICI Savings Account"
"05/18/2025, 9:15 AM","Expense","Food","-25.00","INR","Snacks","ICICI Savings Account"
"05/18/2025, 9:00 AM","Expense","Transportation","-800.00","INR","Auto","SBI Savings Account"
"05/17/2025, 8:59 PM","Expense","Food","-360.00","INR","Dinner","ICICI Savings Account"
"05/17/2025, 7:00 PM","Expense","Shopping","-10308.00","INR","Macbook down payment","SBI Savings Account"
"05/17/2025, 6:35 PM","Expense","Others","-12686.00","INR","Dresses for everyone","SBI Savings Account"
"05/17/2025, 6:05 PM","Expense","Others","-10.00","INR","Baggage Counter","Cash"
"05/17/2025, 5:14 PM","Expense","Others","-4680.00","INR","Glasses","ICICI Credit Card"
"05/17/2025, 1:12 PM","Expense","Food","-40.00","INR","Mountain Dew","ICICI Savings Account"
"05/17/2025, 11:34 AM","Expense","Food","-20.00","INR","Sprite","ICICI Savings Account"
"05/17/2025, 10:37 AM","Expense","Food","-15.00","INR","Lime Juice","ICICI Savings Account"
"05/17/2025, 9:58 AM","Expense","Transportation","-40.00","INR","Metro","ICICI Savings Account"
"05/17/2025, 9:30 AM","Expense","Transportation","-29.00","INR","Bus","Cash"
"05/17/2025, 9:15 AM","Expense","Food","-134.00","INR","Breakfast","ICICI Savings Account"
"05/17/2025, 8:50 AM","Expense","Transportation","-200.00","INR","Auto","ICICI Savings Account"
"05/16/2025, 6:15 PM","Expense","Transportation","-160.00","INR","Auto","ICICI Savings Account"
"05/16/2025, 6:15 PM","Expense","Food","-70.00","INR","Snacks","ICICI Savings Account"
"05/16/2025, 12:53 PM","Expense","Health","-25.00","INR","Razor","ICICI Savings Account"
"05/16/2025, 12:00 AM","Expense","Investment","-200.00","INR","Groww PSU MF","SBI Savings Account"
"05/16/2025, 12:00 AM","Expense","Investment","-200.00","INR","Groww Nifty MF","SBI Savings Account"
"05/15/2025, 7:16 PM","Expense","Bills","-48.00","INR","VI Data Topup","ICICI Savings Account"
"05/13/2025, 9:41 AM","Expense","Bills","-140.90","INR","VI Data Topup","ICICI Savings Account"
"05/12/2025, 3:31 PM","Expense","Others","-20000.00","INR","Amma Josco","SBI Savings Account"
"05/11/2025, 5:56 PM","Expense","Travel","-159.00","INR","Train Ticket","ICICI Savings Account"
"05/10/2025, 5:15 PM","Expense","Food","-140.00","INR","Maggie and sprite","ICICI Savings Account"
"05/10/2025, 5:15 PM","Expense","Health","-129.00","INR","Face wash and shampoo","ICICI Savings Account"
"05/10/2025, 5:10 PM","Expense","Health","-340.00","INR","Meds","ICICI Savings Account"
"05/09/2025, 8:53 PM","Expense","Bills","-155.00","INR","VI Recharge","ICICI Savings Account"
"05/09/2025, 2:28 PM","Expense","Others","-5000.00","INR","To Ammachi","SBI Savings Account"
"05/08/2025, 10:24 PM","Expense","Bills","-139.00","INR","VI data topup","ICICI Savings Account"
"05/08/2025, 5:45 PM","Expense","Others","-500.00","INR","Police Clearance","Cash"
"05/08/2025, 2:49 PM","Transfer","Transfer","1000.00","INR","ATM Withdrawal","SBI Savings Account -> Cash"
"05/08/2025, 11:31 AM","Expense","Transportation","-40.00","INR","Auto","ICICI Savings Account"
"05/08/2025, 11:30 AM","Expense","Food","-64.00","INR","Breakfast","ICICI Savings Account"
"05/08/2025, 11:09 AM","Expense","Food","-12.00","INR","Lime Juice","ICICI Savings Account"
"05/08/2025, 10:00 AM","Expense","Transportation","-25.00","INR","Bus","Cash"
"05/08/2025, 9:22 AM","Expense","Transportation","-60.00","INR","Metro","ICICI Savings Account"
"05/08/2025, 9:16 AM","Expense","Food","-40.00","INR","Snacks","ICICI Savings Account"
"05/08/2025, 8:46 AM","Expense","Transportation","-80.00","INR","Bus to metro","ICICI Savings Account"
"05/08/2025, 5:14 AM","Expense","Entertainment","-399.00","INR","Book","ICICI Savings Account"
"05/08/2025, 2:46 AM","Expense","Food","-769.00","INR","Food from breakfast","ICICI Savings Account"
"05/07/2025, 8:27 PM","Expense","Transportation","-537.33","INR","Uber to airport","ICICI Savings Account"
"05/07/2025, 4:50 PM","Expense","Food","-110.00","INR","Food","ICICI Savings Account"
"05/07/2025, 12:43 AM","Expense","Food","-20.00","INR","Biscuit","ICICI Savings Account"
"05/06/2025, 6:49 PM","Income","Others","54000.00","INR","CDIS Stipend","SBI Savings Account"
"05/06/2025, 6:13 PM","Expense","Food","-40.00","INR","Maggie","ICICI Savings Account"
"05/06/2025, 1:46 PM","Expense","Transportation","-5.00","INR","Cycle air","ICICI Savings Account"
"05/05/2025, 11:50 PM","Expense","Food","-60.00","INR","Ice cream","ICICI Savings Account"
"05/05/2025, 10:47 PM","Expense","Food","-203.50","INR","Dinner","ICICI Savings Account"
"05/05/2025, 10:46 PM","Transfer","Transfer","5000.00","INR","Self Transfer","SBI Savings Account -> ICICI Savings Account"
"05/05/2025, 5:09 PM","Expense","Food","-85.00","INR","Maggie and drinks","ICICI Savings Account"
"05/05/2025, 1:51 AM","Expense","Food","-10.00","INR","Biscuit","ICICI Savings Account"
"05/04/2025, 3:12 PM","Expense","Food","-60.00","INR","Snacks","ICICI Savings Account"
"05/04/2025, 1:41 PM","Transfer","Transfer","13931.00","INR","Payment","ICICI Savings Account -> ICICI Credit Card"
"05/04/2025, 1:35 PM","Expense","Clothing","-300.00","INR","Laundry","SBI Savings Account"
"05/04/2025, 1:43 AM","Expense","Food","-115.00","INR","Late night dinner","ICICI Savings Account"
"05/03/2025, 8:00 PM","Income","Adjustment","67.82","INR","","ICICI Savings Account"
"05/03/2025, 7:59 PM","Expense","Food","-175.33","INR","Dinner","ICICI Savings Account"
"05/03/2025, 2:10 AM","Expense","Food","-80.00","INR","Ice cream","SBI Savings Account"
"05/03/2025, 1:15 AM","Expense","Food","-20.00","INR","Nuts","SBI Savings Account"
"05/02/2025, 8:38 PM","Expense","Food","-50.00","INR","Ice cream","ICICI Savings Account"
"05/02/2025, 5:33 PM","Expense","Food","-50.00","INR","Snacks","ICICI Savings Account"
"05/02/2025, 10:57 AM","Expense","Food","-30.00","INR","Snacks","ICICI Savings Account"
"05/01/2025, 11:53 PM","Expense","Food","-87.00","INR","Maggie and snacks","ICICI Savings Account"
"05/01/2025, 12:54 AM","Expense","Others","-1564.18","INR","Treat","ICICI Savings Account"
"04/30/2025, 10:07 PM","Income","Others","12400.00","INR","Stipend","SBI Savings Account"
"04/30/2025, 3:59 PM","Expense","Food","-50.00","INR","Snacks","ICICI Savings Account"
"04/30/2025, 11:39 AM","Expense","Food","-50.00","INR","Maggie and drinks","ICICI Savings Account"
"04/29/2025, 4:41 PM","Expense","Food","-20.00","INR","snacks","ICICI Savings Account"
"04/29/2025, 1:45 PM","Expense","Food","-30.00","INR","Snacks","ICICI Savings Account"
"04/29/2025, 12:51 AM","Expense","Food","-77.00","INR","Maggie","ICICI Savings Account"
"04/28/2025, 1:37 PM","Transfer","Transfer","14000.00","INR","Self Transfer","SBI Savings Account -> ICICI Savings Account"
"04/28/2025, 1:36 PM","Expense","Entertainment","-59.00","INR","Spotify","ICICI Credit Card"
"04/28/2025, 3:09 AM","Expense","Food","-45.00","INR","Snacks","ICICI Savings Account"
"04/27/2025, 4:37 PM","Expense","Education","-50.00","INR","Pens","ICICI Savings Account"
"04/26/2025, 9:51 PM","Expense","Others","-114.50","INR","Sooraj Cake","ICICI Savings Account"
"04/26/2025, 9:49 PM","Expense","Food","-10.00","INR","Nuts","ICICI Savings Account"
"04/26/2025, 12:33 AM","Expense","Food","-105.00","INR","Maggie and Nuts","ICICI Savings Account"
"04/25/2025, 5:05 PM","Expense","Food","-25.00","INR","Snacks","ICICI Savings Account"
"04/24/2025, 8:14 PM","Expense","Health","-278.85","INR","Medicine","ICICI Savings Account"
"04/24/2025, 6:51 PM","Expense","Food","-10.00","INR","Biscuit","ICICI Savings Account"
"04/24/2025, 1:56 AM","Expense","Food","-100.00","INR","Noodles and buscuit","ICICI Savings Account"
"04/23/2025, 2:32 PM","Expense","Food","-10.00","INR","Biscuit","ICICI Savings Account"
"04/23/2025, 12:30 AM","Expense","Food","-20.00","INR","Munch","ICICI Savings Account"
"04/22/2025, 5:55 PM","Expense","Transportation","-20.00","INR","Cycle repair","ICICI Savings Account"
"04/22/2025, 5:49 PM","Expense","Transportation","-5263.00","INR","Flight","ICICI Savings Account"
"04/22/2025, 2:11 PM","Expense","Food","-30.00","INR","Snacks","ICICI Savings Account"
"04/22/2025, 2:15 AM","Expense","Food","-35.00","INR","Snacks","ICICI Savings Account"
"04/21/2025, 11:04 PM","Expense","Food","-20.00","INR","Nuts","ICICI Savings Account"
"04/21/2025, 8:17 PM","Expense","Health","-38.00","INR","Soap","ICICI Savings Account"
"04/21/2025, 3:51 PM","Expense","Food","-40.00","INR","Maggie and snacks","ICICI Savings Account"
"04/21/2025, 12:17 PM","Expense","Transportation","-5.00","INR","Cycle Air","ICICI Savings Account"
"04/21/2025, 2:05 AM","Expense","Food","-35.00","INR","Biscuit","ICICI Savings Account"
"04/20/2025, 6:31 PM","Expense","Food","-12.00","INR","Tea","ICICI Savings Account"
"04/20/2025, 12:45 AM","Expense","Food","-120.00","INR","Dinner","SBI Savings Account"
"04/19/2025, 5:03 PM","Expense","Food","-50.00","INR","Maggie and Nuts","ICICI Savings Account"
"04/19/2025, 1:58 AM","Expense","Food","-50.00","INR","Maggie and Biscuit","ICICI Savings Account"
"04/18/2025, 9:08 PM","Expense","Food","-10.00","INR","Biscuit","ICICI Savings Account"
"04/18/2025, 9:05 PM","Expense","Food","-10.00","INR","Biscuit","ICICI Savings Account"
"04/17/2025, 10:53 PM","Expense","Food","-75.00","INR","Maggie and drink","ICICI Savings Account"
"04/17/2025, 8:48 PM","Income","Others","6936.00","INR","Vishnu Flight","ICICI Savings Account"
